question,label
청주 빙수 어디 있냐 ㅎ,S-LOCATION S-RESTAURANT O O O
곡성 파전 어디 있니 ㅎㅎ,S-LOCATION S-RESTAURANT O O O
단양 빵 알고싶어 ㅋㅋㅋ,S-LOCATION S-RESTAURANT O O
예천 새우 추천해 주라 ㅜㅜ,S-LOCATION S-RESTAURANT O O O
여수 호두과자 알려줄래 ㅠㅠ,S-LOCATION S-RESTAURANT O O
청도 콩나물 국밥 어디 있니 ㅎㅎㅎ,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
천안 샐러드 알려줘 ㅎㅎ,S-LOCATION S-RESTAURANT O O
진도 양 고치 알려주세요 ㄷㄷ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
김천 매운탕 알려줘 ㅋㅋㅋㅋ,S-LOCATION S-RESTAURANT O O
순천 쫄면 알고싶어 ㅋㅋ,S-LOCATION S-RESTAURANT O O
산청 새우 추천해 주라 ㅋㅋㅋㅋ,S-LOCATION S-RESTAURANT O O O
일산 보신탕 어디 있니 ㅋㅋ,S-LOCATION S-RESTAURANT O O O
순창 김치 찜 추천해 주라 ㅋㅋㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
하동 폭립 알고싶어 ㅋㅋ,S-LOCATION S-RESTAURANT O O
고창 수제 버거 알려줄래 ㅋㅋㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
장흥 알밥 알고싶어 ㅋㅋ,S-LOCATION S-RESTAURANT O O
과천 볶음밥 알려줄래 ㅋㅋ,S-LOCATION S-RESTAURANT O O
청송 김밥 추천해 주세요 ㅋㅋㅋ,S-LOCATION S-RESTAURANT O O O
성남 보신탕 알려줘 ㅋㅋ,S-LOCATION S-RESTAURANT O O
광주 과자 추천해 주세요 ㅋㅋ,S-LOCATION S-RESTAURANT O O O
문경 뚝배기 알려줘 ㅋㅋㅋ,S-LOCATION S-RESTAURANT O O
증평 콩나물 국밥 알려주세요 ㅋㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
청주 빙수 어디 있냐 ㄷ,S-LOCATION S-RESTAURANT O O O
그리고 곡성 파전 어디 있니 ㅎㅎ,O S-LOCATION S-RESTAURANT O O O
단양 빵 알고싶어 ㅎㅎ,S-LOCATION S-RESTAURANT O O
예천 새우 추천해 주라 ㄷㄷ,S-LOCATION S-RESTAURANT O O O
여수 호두과자 알려줄래 ㅠ,S-LOCATION S-RESTAURANT O O
청도 콩나물 국밥 어디 있니 ㅠㅠ,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
천안 샐러드 알려줘 ㄷㄷ,S-LOCATION S-RESTAURANT O O
진도 양 고치 알려주세요 ㅎㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
김천 매운탕 알려줘 ㅎ,S-LOCATION S-RESTAURANT O O
순천 쫄면 알고싶어 ㅋ,S-LOCATION S-RESTAURANT O O
산청 새우 추천해 주라 ㅋ,S-LOCATION S-RESTAURANT O O O
일산 보신탕 어디 있니 ㅎ,S-LOCATION S-RESTAURANT O O O
순창 김치 찜 추천해 주라 ㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
하동 폭립 알고싶어 ㅎ,S-LOCATION S-RESTAURANT O O
고창 수제 버거 알려줄래 ㅋ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
장흥 알밥 알고싶어 ㅎ,S-LOCATION S-RESTAURANT O O
과천 볶음밥 알려줄래 ㅋ,S-LOCATION S-RESTAURANT O O
청송 김밥 추천해 주세요 ㅎ,S-LOCATION S-RESTAURANT O O O
성남 보신탕 알려줘 ㅋ,S-LOCATION S-RESTAURANT O O
광주 과자 추천해 주세요 ㅎ,S-LOCATION S-RESTAURANT O O O
문경 뚝배기 알려줘 ㅋ,S-LOCATION S-RESTAURANT O O
증평 콩나물 국밥 알려주세요 ㅎ,S-LOCATION B-RESTAURANT E-RESTAURANT O O
광양 그럼 육회 추천해 주라,S-LOCATION O S-RESTAURANT O O
나주 그럼 불고기 알려주라,S-LOCATION O S-RESTAURANT O
오산 그럼 파스타 추천해 줘,S-LOCATION O S-RESTAURANT O O
안동 그럼 케이크 어디 있냐,S-LOCATION O S-RESTAURANT O O
하동 그럼 짜장면 알고싶어,S-LOCATION O S-RESTAURANT O
영양 그럼 햄버거 추천해 주세요,S-LOCATION O S-RESTAURANT O O
창녕 그럼 튀김 알고싶어,S-LOCATION O S-RESTAURANT O
춘천 그럼 규동 추천해 주라,S-LOCATION O S-RESTAURANT O O
부천 그럼 쌀국수 알려주라,S-LOCATION O S-RESTAURANT O
횡성 그럼 양 꼬치 알려줘,S-LOCATION O B-RESTAURANT E-RESTAURANT O
예천 그럼 수제 버거 알려주세요,S-LOCATION O B-RESTAURANT E-RESTAURANT O
그리고 서산 과자 레스토랑 어디 있니,O S-LOCATION S-RESTAURANT O O O
그리고 금산 국수 레스토랑 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그리고 단양 돼지 갈비 레스토랑 알려줄래,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
그리고 예산 샐러드 레스토랑 알려주세요,O S-LOCATION S-RESTAURANT O O
그리고 경산 파전 레스토랑 추천해 주세요,O S-LOCATION S-RESTAURANT O O O
그리고 임실 볶음밥 레스토랑 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그리고 경산 샤브샤브 레스토랑 어디 있니,O S-LOCATION S-RESTAURANT O O O
아무튼 영월 햄버거 레스토랑 어디 있니,O S-LOCATION S-RESTAURANT O O O
아무튼 홍성 해장국 레스토랑 어디 있니,O S-LOCATION S-RESTAURANT O O O
아무튼 공주 콩나물 국밥 레스토랑 알려주라,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
아무튼 통영 비빔국수 레스토랑 알고싶어,O S-LOCATION S-RESTAURANT O O
아무튼 평창 갈비 레스토랑 알려주라,O S-LOCATION S-RESTAURANT O O
아무튼 함양 후라이드 레스토랑 알고싶어,O S-LOCATION S-RESTAURANT O O
아무튼 김천 순대 레스토랑 알려줄래,O S-LOCATION S-RESTAURANT O O
아무튼 부여 아구찜 레스토랑 추천해 줘,O S-LOCATION S-RESTAURANT O O O
아무튼 장성 빙수 레스토랑 알려줄래,O S-LOCATION S-RESTAURANT O O
아무튼 예천 튀김 레스토랑 알려주라,O S-LOCATION S-RESTAURANT O O
아무튼 구리 목살 레스토랑 알고싶어,O S-LOCATION S-RESTAURANT O O
아무튼 함안 족발 레스토랑 알고싶어,O S-LOCATION S-RESTAURANT O O
아무튼 곡성 떡볶이 레스토랑 추천해 주라,O S-LOCATION S-RESTAURANT O O O
어쨋든 춘천 물냉면 추천해 주세요,O S-LOCATION S-RESTAURANT O O
어쨋든 여수 왕 갈비 추천해 주세요,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
어쨋든 영동 뼈 해장국 어디 있니,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
어쨋든 태백 라면 알고싶어,O S-LOCATION S-RESTAURANT O
어쨋든 칠곡 수제 버거 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
어쨋든 울진 비빔국수 알려줘,O S-LOCATION S-RESTAURANT O
어쨋든 논산 양 꼬치 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
어쨋든 괴산 팔보채 어디 있니,O S-LOCATION S-RESTAURANT O O
어쨋든 성남 빵 어디 있니,O S-LOCATION S-RESTAURANT O O
어쨋든 양양 스테이크 알려주라,O S-LOCATION S-RESTAURANT O
어쨋든 논산 수제 버거 어디 있냐,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
어쨋든 영주 비빔국수 추천해 주라,O S-LOCATION S-RESTAURANT O O
어쨋든 장흥 김치 알려주라,O S-LOCATION S-RESTAURANT O
어쨋든 진주 목살 추천해 줘,O S-LOCATION S-RESTAURANT O O
어쨋든 옥천 샐러드 추천해 주세요,O S-LOCATION S-RESTAURANT O O
어쨋든 화순 샤브샤브 알려줄래,O S-LOCATION S-RESTAURANT O
어쨋든 연천 비빔밥 알고싶어,O S-LOCATION S-RESTAURANT O
하여튼 춘천 물냉면 추천해 주세요,O S-LOCATION S-RESTAURANT O O
하여튼 여수 왕 갈비 추천해 주세요,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
하여튼 영동 뼈 해장국 어디 있니,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
하여튼 태백 라면 알고싶어,O S-LOCATION S-RESTAURANT O
하여튼 칠곡 수제 버거 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
하여튼 울진 비빔국수 알려줘,O S-LOCATION S-RESTAURANT O
하여튼 논산 양 꼬치 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
하여튼 괴산 팔보채 어디 있니,O S-LOCATION S-RESTAURANT O O
하여튼 성남 빵 어디 있니,O S-LOCATION S-RESTAURANT O O
하여튼 양양 스테이크 알려주라,O S-LOCATION S-RESTAURANT O
하여튼 논산 수제 버거 어디 있냐,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
하여튼 영주 비빔국수 추천해 주라,O S-LOCATION S-RESTAURANT O O
하여튼 장흥 김치 알려주라,O S-LOCATION S-RESTAURANT O
하여튼 진주 목살 추천해 줘,O S-LOCATION S-RESTAURANT O O
하여튼 옥천 샐러드 추천해 주세요,O S-LOCATION S-RESTAURANT O O
하여튼 화순 샤브샤브 알려줄래,O S-LOCATION S-RESTAURANT O
하여튼 연천 비빔밥 알고싶어,O S-LOCATION S-RESTAURANT O
화성 연어 알고싶어,S-LOCATION S-RESTAURANT O
군포 마카롱 알려주세요,S-LOCATION S-RESTAURANT O
구례 아구찜 어디 있니,S-LOCATION S-RESTAURANT O O
용인 오징어 추천해 주라,S-LOCATION S-RESTAURANT O O
성주 쫄면 추천해 줘,S-LOCATION S-RESTAURANT O O
영암 호두과자 어디 있니,S-LOCATION S-RESTAURANT O O
제천 순두부 어디 있니,S-LOCATION S-RESTAURANT O O
창녕 광어 알고싶어,S-LOCATION S-RESTAURANT O
대구 백반 알려줘,S-LOCATION S-RESTAURANT O
순창 육회 알려주세요,S-LOCATION S-RESTAURANT O
예산 수제 버거 어디 있니,S-LOCATION B-RESTAURANT E-RESTAURANT O O
강릉 콩나물 국밥 추천해 주라,S-LOCATION B-RESTAURANT E-RESTAURANT O O
고창 폭립 추천해 주라,S-LOCATION S-RESTAURANT O O
부안 쌀국수 알고싶어,S-LOCATION S-RESTAURANT O
포항 국밥 알고싶어,S-LOCATION S-RESTAURANT O
안양 쌀국수 알려줄래,S-LOCATION S-RESTAURANT O
안성 족발 추천해 줘,S-LOCATION S-RESTAURANT O O
하동 스테이크 추천해 줘,S-LOCATION S-RESTAURANT O O
파주 김치 찜 추천해 줘,S-LOCATION B-RESTAURANT E-RESTAURANT O O
원주 튀김 알려줄래,S-LOCATION S-RESTAURANT O
아 서천 파전 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 청송 찜닭 알려줘,O S-LOCATION S-RESTAURANT O
아 수원 양 꼬치 추천해 주라,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
아 청양 백반 알려주세요,O S-LOCATION S-RESTAURANT O
아 청주 순대 어디 있니,O S-LOCATION S-RESTAURANT O O
아 여수 육회 알려줄래,O S-LOCATION S-RESTAURANT O
아 대구 보신탕 어디 있니,O S-LOCATION S-RESTAURANT O O
아 해운대 비빔밥 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 곡성 잔치국수 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 거제 쫄면 알려줄래,O S-LOCATION S-RESTAURANT O
아 김해 감자탕 알려주세요,O S-LOCATION S-RESTAURANT O
아 포항 팔보채 알려주세요,O S-LOCATION S-RESTAURANT O
아 안동 스테이크 어디 있니,O S-LOCATION S-RESTAURANT O O
아 춘천 마카롱 추천해 주세요,O S-LOCATION S-RESTAURANT O O
아 고창 라면 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 거창 김밥 알고싶어,O S-LOCATION S-RESTAURANT O
아 영주 새우 튀김 추천해 주라,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
아 남양주 팥빙수 알려주세요,O S-LOCATION S-RESTAURANT O
아 의령 조개 알려주라,O S-LOCATION S-RESTAURANT O
아 군포 보쌈 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 남해 파전 어디 있니,O S-LOCATION S-RESTAURANT O O
아 동두천 초밥 추천해 줘,O S-LOCATION S-RESTAURANT O O
아 광주 연어 알려주라,O S-LOCATION S-RESTAURANT O
아 부천 스파게티 추천해 줘,O S-LOCATION S-RESTAURANT O O
아 화순 뚝배기 알려줘,O S-LOCATION S-RESTAURANT O
아 논산 매운탕 추천해 주라,O S-LOCATION S-RESTAURANT O O
아 영광 비빔국수 어디 있냐,O S-LOCATION S-RESTAURANT O O
아 시흥 냉면 알고싶어,O S-LOCATION S-RESTAURANT O
아 서산 연어 알려주라,O S-LOCATION S-RESTAURANT O
아 해운대 곱창 추천해 주세요,O S-LOCATION S-RESTAURANT O O
아 완도 누룽지 알고싶어,O S-LOCATION S-RESTAURANT O
아 삼척 과자 추천해 줘,O S-LOCATION S-RESTAURANT O O
울릉 여행 가는데 폭립 레스토랑 알고싶어,S-LOCATION O O S-RESTAURANT O O
김천 여행 가는데 아이스크림 레스토랑 알려주세요,S-LOCATION O O S-RESTAURANT O O
거제 여행 가는데 양 고치 레스토랑 어디 있냐,S-LOCATION O O B-RESTAURANT E-RESTAURANT O O O
동두천 여행 가는데 홍어 레스토랑 어디 있냐,S-LOCATION O O S-RESTAURANT O O O
청도 여행 가는데 치킨 레스토랑 알려주라,S-LOCATION O O S-RESTAURANT O O
양주 여행 가는데 팥빙수 레스토랑 알고싶어,S-LOCATION O O S-RESTAURANT O O
아산 여행 가는데 왕 갈비 레스토랑 알려줘,S-LOCATION O O B-RESTAURANT E-RESTAURANT O O
장성 여행 가는데 회 레스토랑 알려줘,S-LOCATION O O S-RESTAURANT O O
시흥 여행 가는데 팥빙수 레스토랑 추천해 주세요,S-LOCATION O O S-RESTAURANT O O O
의성 여행 가는데 고기 레스토랑 알고싶어,S-LOCATION O O S-RESTAURANT O O
예산 여행 가는데 육회 레스토랑 어디 있냐,S-LOCATION O O S-RESTAURANT O O O
광명 여행 가는데 해장국 레스토랑 어디 있니,S-LOCATION O O S-RESTAURANT O O O
연천 여행 가는데 샐러드 레스토랑 알려줄래,S-LOCATION O O S-RESTAURANT O O
영주 여행 가는데 호두과자 레스토랑 알려주세요,S-LOCATION O O S-RESTAURANT O O
고창 여행 가는데 오징어 레스토랑 추천해 주세요,S-LOCATION O O S-RESTAURANT O O O
양평 여행 가는데 회 레스토랑 알려줘,S-LOCATION O O S-RESTAURANT O O
강진 여행 가는데 잔치국수 레스토랑 알려줘,S-LOCATION O O S-RESTAURANT O O
단양 여행 가는데 감자탕 레스토랑 알려주세요,S-LOCATION O O S-RESTAURANT O O
영덕 여행 가는데 연어 레스토랑 알려주라,S-LOCATION O O S-RESTAURANT O O
울릉 여행 갈 건데 폭립 레스토랑 알고싶어,S-LOCATION O O O S-RESTAURANT O O
김천 여행 갈 건데 아이스크림 레스토랑 알려주세요,S-LOCATION O O O S-RESTAURANT O O
거제 여행 갈 건데 양 고치 레스토랑 어디 있냐,S-LOCATION O O O B-RESTAURANT E-RESTAURANT O O O
동두천 여행 갈 건데 홍어 레스토랑 어디 있냐,S-LOCATION O O O S-RESTAURANT O O O
청도 여행 갈 건데 치킨 레스토랑 알려주라,S-LOCATION O O O S-RESTAURANT O O
양주 여행 갈 건데 팥빙수 레스토랑 알고싶어,S-LOCATION O O O S-RESTAURANT O O
아산 여행 갈 건데 왕 갈비 레스토랑 알려줘,S-LOCATION O O O B-RESTAURANT E-RESTAURANT O O
장성 여행 갈 건데 회 레스토랑 알려줘,S-LOCATION O O O S-RESTAURANT O O
시흥 여행 갈 건데 팥빙수 레스토랑 추천해 주세요,S-LOCATION O O O S-RESTAURANT O O O
의성 여행 갈 건데 고기 레스토랑 알고싶어,S-LOCATION O O O S-RESTAURANT O O
예산 여행 갈 건데 육회 레스토랑 어디 있냐,S-LOCATION O O O S-RESTAURANT O O O
광명 여행 갈 건데 해장국 레스토랑 어디 있니,S-LOCATION O O O S-RESTAURANT O O O
연천 여행 갈 건데 샐러드 레스토랑 알려줄래,S-LOCATION O O O S-RESTAURANT O O
영주 여행 갈 건데 호두과자 레스토랑 알려주세요,S-LOCATION O O O S-RESTAURANT O O
고창 여행 갈 건데 오징어 레스토랑 추천해 주세요,S-LOCATION O O O S-RESTAURANT O O O
양평 여행 갈 건데 회 레스토랑 알려줘,S-LOCATION O O O S-RESTAURANT O O
강진 여행 갈 건데 잔치국수 식당 알려줘,S-LOCATION O O O S-RESTAURANT O O
단양 여행 갈 건데 감자탕 식당 알려주세요,S-LOCATION O O O S-RESTAURANT O O
영덕 여행 갈 건데 연어 식당 알려주라,S-LOCATION O O O S-RESTAURANT O O
목포 콩나물 국밥 식당 알려주라,S-LOCATION B-RESTAURANT E-RESTAURANT O O
무주 고기 식당 알려주라,S-LOCATION S-RESTAURANT O O
거제 빙수 식당 어디 있니,S-LOCATION S-RESTAURANT O O O
고창 소고기 식당 어디 있냐,S-LOCATION S-RESTAURANT O O O
창원 팔보채 식당 알고싶어,S-LOCATION S-RESTAURANT O O
안양 오징어 식당 알려줘,S-LOCATION S-RESTAURANT O O
창원 쌀국수 식당 알려주라,S-LOCATION S-RESTAURANT O O
밀양 가는데 감자탕 식당 알고싶어,S-LOCATION O S-RESTAURANT O O
해운대 가는데 월남쌈 식당 알고싶어,S-LOCATION O S-RESTAURANT O O
울진 가는데 물냉면 식당 알려줘,S-LOCATION O S-RESTAURANT O O
영주 가는데 국수 식당 알려주세요,S-LOCATION O S-RESTAURANT O O
울릉 가는데 팔보채 식당 어디 있니,S-LOCATION O S-RESTAURANT O O O
그럼 군위 가는데 보쌈 식당 알려주라,O S-LOCATION O S-RESTAURANT O O
그럼 오늘 완주 가는데 매운탕 알려주라,O S-DATE S-LOCATION O S-RESTAURANT O
그럼 오늘 동두천 가는데 물냉면 추천해 주라,O S-DATE S-LOCATION O S-RESTAURANT O O
그럼 오늘 포천 가는데 물냉면 추천해 주세요,O S-DATE S-LOCATION O S-RESTAURANT O O
그럼 오늘 구미 가는데 폭립 추천해 주라,O S-DATE S-LOCATION O S-RESTAURANT O O
그럼 오늘 김포 가는데 광어 추천해 주라,O S-DATE S-LOCATION O S-RESTAURANT O O
그럼 오늘 성남 가는데 제육 볶음 알려주세요,O S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O
오늘 밀양 가는데 김치 찜 추천해 줘,S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O O
오늘 고창 가는데 물냉면 추천해 주라,S-DATE S-LOCATION O S-RESTAURANT O O
오늘 예천 가는데 빵 어디 있니,S-DATE S-LOCATION O S-RESTAURANT O O
오늘 하동 가는데 목살 알려주라,S-DATE S-LOCATION O S-RESTAURANT O
오늘 진천 가는데 쌀국수 알려줄래,S-DATE S-LOCATION O S-RESTAURANT O
오늘 남양주 가는데 호두과자 알려줘,S-DATE S-LOCATION O S-RESTAURANT O
오늘 연천 가는데 불고기 어디 있니,S-DATE S-LOCATION O S-RESTAURANT O O
오늘 과천 가는데 튀김 어디 있냐,S-DATE S-LOCATION O S-RESTAURANT O O
오늘 논산 가는데 파전 알고싶어,S-DATE S-LOCATION O S-RESTAURANT O
오늘 오산 가는데 김치 찜 어디 있냐,S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O O
오늘 수원 가는데 제육 볶음 알려줄래,S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O
오늘 정읍 가는데 마카롱 알려주세요,S-DATE S-LOCATION O S-RESTAURANT O
내일 완주 가는데 매운탕 알려주라,S-DATE S-LOCATION O S-RESTAURANT O
내일 동두천 가는데 물냉면 추천해 주라,S-DATE S-LOCATION O S-RESTAURANT O O
내일 포천 가는데 물냉면 추천해 주세요,S-DATE S-LOCATION O S-RESTAURANT O O
내일 구미 가는데 폭립 추천해 주라,S-DATE S-LOCATION O S-RESTAURANT O O
내일 김포 가는데 광어 추천해 주라,S-DATE S-LOCATION O S-RESTAURANT O O
내일 성남 가는데 제육 볶음 알려주세요,S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O
내일 밀양 가는데 김치 찜 추천해 줘,S-DATE S-LOCATION O B-RESTAURANT E-RESTAURANT O O
내일 고창 가는데 물냉면 추천해 주라,S-DATE S-LOCATION O S-RESTAURANT O O
내일 예천 가는데 빵 어디 있니,S-DATE S-LOCATION O S-RESTAURANT O O
